Virus,Time,Count
Rhinovirus,2019-3,178
Rhinovirus,2019-6,64
Rhinovirus,2019-9,239
Rhinovirus,2019-12,37
Rhinovirus,2020-3,139
Rhinovirus,2020-6,376
Rhinovirus,2020-9,55
Rhinovirus,2020-12,213
Seasonal Coronavirus,2019-3,417
Seasonal Coronavirus,2019-6,239
Seasonal Coronavirus,2019-9,435
Seasonal Coronavirus,2019-12,358
Seasonal Coronavirus,2020-3,157
Seasonal Coronavirus,2020-6,182
Seasonal Coronavirus,2020-9,437
Seasonal Coronavirus,2020-12,208
Adenovirus,2019-3,70
Adenovirus,2019-6,185
Adenovirus,2019-9,141
Adenovirus,2019-12,408
Adenovirus,2020-3,342
Adenovirus,2020-6,473
Adenovirus,2020-9,135
Adenovirus,2020-12,416
Human Metapneumovirus,2019-3,364
Human Metapneumovirus,2019-6,202
Human Metapneumovirus,2019-9,492
Human Metapneumovirus,2019-12,126
Human Metapneumovirus,2020-3,197
Human Metapneumovirus,2020-6,37
Human Metapneumovirus,2020-9,32
Human Metapneumovirus,2020-12,239
Parainfluenza,2019-3,230
Parainfluenza,2019-6,171
Parainfluenza,2019-9,221
Parainfluenza,2019-12,230
Parainfluenza,2020-3,448
Parainfluenza,2020-6,9
Parainfluenza,2020-9,30
Parainfluenza,2020-12,248
